#P(Mpa) H(J/KG) T(K)    D(KG/M3)  M(PA-S)       K(W/M-K) CP(J/KG-K)   Beta(1/K)							
12336	
8.570000000000E+00	8.928405039550E+04	2.201500000000E+02	1.182333032790E+03	2.568910499010E-04	1.823518022750E-01	1.911622172160E+03	2.892062459110E-03
8.570000000000E+00	8.947521976910E+04	2.202500000000E+02	1.181991020860E+03	2.564675503700E-04	1.822251631440E-01	1.911765464160E+03	2.894149173040E-03
8.570000000000E+00	8.966640352120E+04	2.203500000000E+02	1.181648861000E+03	2.560448953560E-04	1.820985652840E-01	1.911909742460E+03	2.896240536870E-03
8.570000000000E+00	8.985760175050E+04	2.204500000000E+02	1.181306552870E+03	2.556230825750E-04	1.819720086300E-01	1.912055008880E+03	2.898336564540E-03
8.570000000000E+00	9.004881455600E+04	2.205500000000E+02	1.180964096090E+03	2.552021097460E-04	1.818454931180E-01	1.912201265250E+03	2.900437270020E-03
8.570000000000E+00	9.024004203660E+04	2.206500000000E+02	1.180621490290E+03	2.547819745980E-04	1.817190186850E-01 	1.912348513390E+03	2.902542667350E-03
8.570000000000E+00	9.043128429180E+04	2.207500000000E+02	1.180278735110E+03	2.543626748670E-04	1.815925852650E-01	1.912496755170E+03	2.904652770630E-03
8.570000000000E+00	9.062254142080E+04	2.208500000000E+02	1.179935830190E+03	2.539442082970E-04	1.814661927950E-01	1.912645992430E+03	2.906767594020E-03
8.570000000000E+00	9.081381352350E+04	2.209500000000E+02	1.179592775140E+03	2.535265726370E-04	1.813398412110E-01	1.912796227020E+03	2.908887151730E-03
8.570000000000E+00	9.100510069950E+04	2.210500000000E+02	1.179249569610E+03	2.531097656450E-04	1.812135304470E-01	1.912947460830E+03	2.911011458050E-03
8.570000000000E+00	9.119640304900E+04	2.211500000000E+02	1.178906213220E+03	2.526937850850E-04	1.810872604390E-01	1.913099695730E+03	2.913140527320E-03
8.570000000000E+00	9.138772067210E+04	2.212500000000E+02	1.178562705590E+03	2.522786287300E-04	1.809610311220E-01	1.913252933600E+03	2.915274373930E-03
8.570000000000E+00	9.157905366920E+04	2.213500000000E+02	1.178219046360E+03	2.518642943580E-04	1.808348424320E-01	1.913407176340E+03	2.917413012360E-03
8.570000000000E+00	9.177040214090E+04	2.214500000000E+02	1.177875235150E+03	2.514507797560E-04	1.807086943030E-01	1.913562425860E+03	2.919556457120E-03
8.570000000000E+00	9.196176618800E+04	2.215500000000E+02	1.177531271590E+03	2.510380827170E-04	1.805825866690E-01	1.913718684070E+03	2.921704722820E-03
8.570000000000E+00	9.215314591140E+04	2.216500000000E+02	1.177187155290E+03	2.506262010400E-04	1.804565194670E-01	1.913875952880E+03	2.923857824080E-03
8.570000000000E+00	9.234454141240E+04	2.217500000000E+02	1.176842885890E+03	2.502151325340E-04	1.803304926310E-01	1.914034234220E+03	2.926015775640E-03
8.570000000000E+00	9.253595279210E+04	2.218500000000E+02	1.176498462990E+03	2.498048750120E-04	1.802045060940E-01	1.914193530050E+03	2.928178592270E-03
8.570000000000E+00	9.272738015220E+04	2.219500000000E+02	1.176153886240E+03	2.493954262960E-04	1.800785597920E-01	1.914353842290E+03	2.930346288800E-03
8.570000000000E+00	9.291882359450E+04	2.220500000000E+02	1.175809155230E+03	2.489867842130E-04	1.799526536580E-01	1.914515172910E+03	2.932518880140E-03
8.570000000000E+00	9.311028322080E+04	2.221500000000E+02	1.175464269600E+03	2.485789466000E-04	1.798267876280E-01	1.914677523880E+03	2.934696381270E-03
8.570000000000E+00	9.330175913340E+04	2.222500000000E+02	1.175119228960E+03	2.481719112970E-04	1.797009616350E-01	1.914840897160E+03	2.936878807210E-03
8.570000000000E+00	9.349325143440E+04	2.223500000000E+02	1.174774032920E+03	2.477656761540E-04	1.795751756130E-01	1.915005294740E+03	2.939066173060E-03
8.570000000000E+00	9.368476022650E+04	2.224500000000E+02	1.174428681100E+03	2.473602390270E-04	1.794494294960E-01	1.915170718600E+03	2.941258493980E-03
8.570000000000E+00	9.387628561240E+04	2.225500000000E+02	1.174083173120E+03	2.469555977770E-04	1.793237232170E-01	1.915337170760E+03	2.943455785210E-03
8.570000000000E+00	9.406782769500E+04	2.226500000000E+02	1.173737508590E+03	2.465517502740E-04	1.791980567120E-01	1.915504653220E+03	2.945658062040E-03
8.570000000000E+00	9.425938657750E+04	2.227500000000E+02	1.173391687120E+03	2.461486943940E-04	1.790724299110E-01	1.915673168000E+03	2.947865339830E-03
8.570000000000E+00	9.445096236310E+04	2.228500000000E+02	1.173045708330E+03	2.457464280210E-04	1.789468427510E-01	1.915842717130E+03	2.950077634010E-03
8.570000000000E+00	9.464255515540E+04	2.229500000000E+02	1.172699571810E+03	2.453449490420E-04	1.788212951630E-01	1.916013302640E+03	2.952294960080E-03
8.570000000000E+00	9.483416505820E+04	2.230500000000E+02	1.172353277190E+03	2.449442553550E-04	1.786957870800E-01	1.916184926590E+03	2.954517333600E-03
8.570000000000E+00	9.502579217540E+04	2.231500000000E+02	1.172006824070E+03	2.445443448620E-04	1.785703184370E-01	1.916357591020E+03	2.956744770190E-03
8.570000000000E+00	9.521743661120E+04	2.232500000000E+02	1.171660212050E+03	2.441452154730E-04	1.784448891660E-01	1.916531298010E+03	2.958977285560E-03
8.570000000000E+00	9.540909846990E+04	2.233500000000E+02	1.171313440740E+03	2.437468651030E-04	1.783194991990E-01	1.916706049620E+03	2.961214895480E-03
8.570000000000E+00	9.560077785600E+04	2.234500000000E+02	1.170966509760E+03	2.433492916760E-04	1.781941484710E-01	1.916881847950E+03	2.963457615770E-03
